haste:, 1.00, 1.01, 1.02, 1.03, 1.04, 1.05, 1.06, 1.07, 1.08, 1.09, 1.10, 1.11, 1.12, 1.13, 1.14, 1.15, 1.16, 1.17, 1.18, 1.19, 1.20, 1.21, 1.22, 1.23, 1.24, 1.25, 1.26, 1.27, 1.28, 1.29, 1.30, 1.31, 1.32, 1.33, 1.34, 
8000a ht 1:1:, 1.339837, 1.349655, 1.359585, 1.358351, 1.368240, 1.366958, 1.376900, 1.386912, 1.385605, 1.395546, 1.405769, 1.404381, 1.414557, 1.412993, 1.423093, 1.433354, 1.431715, 1.442056, 1.452514, 1.450839, 1.460970, 1.471471, 1.469552, 1.480188, 1.490697, 1.488664, 1.499479, 1.510254, 1.507889, 1.518507, 1.529260, 1.526900, 1.537726, 1.548673, 1.559747, 
6000a ht 1:1:, 1.318371, 1.327506, 1.336741, 1.335701, 1.344909, 1.343829, 1.353085, 1.362409, 1.361309, 1.370580, 1.380094, 1.378928, 1.388410, 1.387094, 1.396519, 1.406087, 1.404711, 1.414354, 1.424102, 1.422698, 1.432178, 1.441978, 1.440370, 1.450292, 1.460116, 1.458415, 1.468504, 1.478568, 1.476588, 1.486530, 1.496594, 1.494623, 1.504759, 1.515005, 1.525366, 
6000a ht no isb:, 1.392714, 1.402335, 1.405401, 1.408057, 1.411111, 1.413810, 1.423123, 1.426004, 1.428611, 1.431437, 1.440454, 1.443422, 1.445916, 1.454421, 1.457018, 1.459100, 1.461302, 1.470037, 1.472067, 1.474555, 1.482744, 1.485107, 1.486960, 1.495270, 1.497098, 1.498909, 1.507783, 1.509633, 1.517310, 1.518647, 1.519989, 1.527915, 1.529250, 1.537238, 1.538480, 
6000a no isb:, 1.328815, 1.336492, 1.338935, 1.341050, 1.343480, 1.345627, 1.353021, 1.355307, 1.357372, 1.359610, 1.366741, 1.369085, 1.371054, 1.377758, 1.379802, 1.381441, 1.383172, 1.390033, 1.391625, 1.393576, 1.399989, 1.401836, 1.403286, 1.409774, 1.411200, 1.412611, 1.419520, 1.420960, 1.426923, 1.427960, 1.429001, 1.435143, 1.436177, 1.442354, 1.443313, 
5000a ht no isb:, 1.357935, 1.366480, 1.369200, 1.371557, 1.374265, 1.376658, 1.384906, 1.387457, 1.389763, 1.392262, 1.400232, 1.402853, 1.405055, 1.412558, 1.414847, 1.416683, 1.418623, 1.426314, 1.428100, 1.430289, 1.437487, 1.439563, 1.441191, 1.448484, 1.450087, 1.451675, 1.459451, 1.461072, 1.467790, 1.468959, 1.470133, 1.477061, 1.478227, 1.485201, 1.486284, 
5000a no isb:, 1.295193, 1.301907, 1.304041, 1.305889, 1.308011, 1.309885, 1.316335, 1.318327, 1.320126, 1.322076, 1.328283, 1.330322, 1.332034, 1.337859, 1.339634, 1.341056, 1.342559, 1.348509, 1.349889, 1.351580, 1.357133, 1.358732, 1.359986, 1.365596, 1.366828, 1.368048, 1.374013, 1.375255, 1.380397, 1.381291, 1.382188, 1.387479, 1.388368, 1.393683, 1.394508, 
4000a ht no isb:, 1.315962, 1.323266, 1.325589, 1.327601, 1.329912, 1.331953, 1.338981, 1.341152, 1.343115, 1.345241, 1.352013, 1.354239, 1.356108, 1.362470, 1.364410, 1.365964, 1.367607, 1.374113, 1.375623, 1.377473, 1.383551, 1.385302, 1.386675, 1.392821, 1.394172, 1.395508, 1.402049, 1.403412, 1.409055, 1.410036, 1.411021, 1.416831, 1.417808, 1.423648, 1.424555, 
4000a no isb:, 1.255938, 1.261578, 1.263370, 1.264920, 1.266700, 1.268271, 1.273674, 1.275341, 1.276847, 1.278477, 1.283664, 1.285366, 1.286795, 1.291652, 1.293131, 1.294316, 1.295568, 1.300519, 1.301666, 1.303072, 1.307684, 1.309011, 1.310052, 1.314704, 1.315725, 1.316735, 1.321673, 1.322700, 1.326951, 1.327690, 1.328431, 1.332798, 1.333532, 1.337913, 1.338593, 
6000a ht keep isb:, 1.000651, 1.000651, 1.007206, 1.013848, 1.027399, 1.034311, 1.041315, 1.048408, 1.062879, 1.070223, 1.077622, 1.085058, 1.100289, 1.107840, 1.115380, 1.131033, 1.138589, 1.146084, 1.153563, 1.169481, 1.176870, 1.184206, 1.200207, 1.207414, 1.223549, 1.230666, 1.237667, 1.253785, 1.260649, 1.267439, 1.283549, 1.290212, 1.306295, 1.312774, 1.328799, 
6000a keep isb:, 1.000618, 1.000618, 1.006841, 1.013141, 1.025981, 1.032524, 1.039150, 1.045856, 1.059520, 1.066447, 1.073421, 1.080425, 1.094754, 1.101849, 1.108929, 1.123610, 1.130688, 1.137705, 1.144700, 1.159573, 1.166467, 1.173309, 1.188213, 1.194918, 1.209912, 1.216518, 1.223012, 1.237944, 1.244297, 1.250576, 1.265457, 1.271605, 1.286428, 1.292392, 1.307129, 
5000a ht keep isb:, 1.000634, 1.000634, 1.007019, 1.013485, 1.026671, 1.033394, 1.040203, 1.047098, 1.061153, 1.068283, 1.075463, 1.082677, 1.097443, 1.104759, 1.112062, 1.127214, 1.134522, 1.141771, 1.148999, 1.164378, 1.171511, 1.178591, 1.194025, 1.200972, 1.216516, 1.223368, 1.230106, 1.245609, 1.252208, 1.258733, 1.274205, 1.280601, 1.296028, 1.302240, 1.317595, 
5000a keep isb:, 1.000597, 1.000597, 1.006606, 1.012687, 1.025074, 1.031381, 1.037765, 1.044223, 1.057374, 1.064037, 1.070741, 1.077471, 1.091229, 1.098037, 1.104826, 1.118895, 1.125673, 1.132389, 1.139081, 1.153299, 1.159885, 1.166417, 1.180637, 1.187030, 1.201315, 1.207604, 1.213784, 1.227983, 1.234019, 1.239983, 1.254108, 1.259939, 1.273988, 1.279637, 1.293585, 
4000a ht keep isb:, 1.000610, 1.000610, 1.006755, 1.012975, 1.025650, 1.032107, 1.038644, 1.045259, 1.058736, 1.065566, 1.072441, 1.079344, 1.093464, 1.100454, 1.107427, 1.121884, 1.128851, 1.135758, 1.142641, 1.157274, 1.164055, 1.170783, 1.185435, 1.192026, 1.206758, 1.213248, 1.219626, 1.234288, 1.240524, 1.246687, 1.261290, 1.267321, 1.281857, 1.287706, 1.302151, 
